skill_id,skill
933,Empathy
945,Energy Economics
951,Engineering Psychology
962,Enterprise System
966,Entity Relationship Diagram
967,Entrepreneurial Economics
974,Environmental Economics
975,Environmental Engineering
976,Environmental Geography
978,Environmental Planning
981,Environmental Technology
984,Epistemology
987,Ergonomics
988,Erlang
996,Ethics
997,Ethnobiology
998,Ethnobotany
999,Ethnography
1000,Ethnology
1001,Ethnopoetics
1002,Etymology
1009,Evolutionary Anthropology
1011,Evolutionary Economics
1012,Evolutionary Linguistics
1013,Evolutionary Psychology
1020,Experimental Archaeology
1023,Experimental Psychology
1039,F#
1045,Facilities Engineering
1074,Financial Economics
1094,Fisheries Science
1103,Food Science
1106,Forecasting
1109,Forensic Linguistics
1110,Forensic Materials Engineering
1111,Forensic Psychology
1113,Forestry
1116,Formal Methods
1117,Formal Semantic
1121,Fortran
1147,Game Theory
1171,Genetic Engineering
1176,Geographyc Information System
1177,Geolinguistics
1181,Geometry
1183,Geopolitics
1184,Geotechnical Engineering
1194,Go
1219,Graph
1223,Graph Theory
1225,Graphic Design
1236,Groovy
1258,Hardware Virtualization
1259,Hash Table
1260,Haskell
1266,Health Psychology
1276,Heterodox Economics
1280,Hierachical Database
1283,High-Energy Partical Physics
1288,Historical Archaeology
1290,Historical Linguistics
1294,Hive
1296,Horticulture
1242,HTML
1301,Human Geography
1306,Human-Computer Interaction
1308,Humanistic Psychology
1310,Hydro Engineering
1346,Ideology
1350,Image Processing
1360,Implementation
1367,Induction
1376,Industrial and Organizational Psychology
1373,Industrial Organization
1382,Infographics
1394,Information Systems
1399,Information Visualization
1411,Instant Messenger
1412,Institutional Economics
1413,Instrumentaion Engineering
1423,Intellectual Property (IP)
1430,Interactive Media Design
1438,International Economics
1459,Interpretational AI
1460,Interpreter
3080,iOS
1479,Java
1489,JavaScript
1497,Joomla
1520,Keynote
1524,Knowledge Engineering
1535,Labour Economics
1540,Language
1545,Lasso
1552,Law and Economics
1553,Lead Generation
1568,Lexis
1578,Linguistic Anthropology
1580,Linguistic Typology
1589,Linker
1595,List
1596,Literature
1598,Loader
1605,Logistic Engineering
1607,Logistics
1608,Logo Creation
1633,Macroeconomics
1634,Magento
1650,Managerial Economics
1654,Manufacturing Engineering
1670,Market Research
1672,Market Segmentation
1681,Marketing Research
1688,Materials Science
1689,Mathematical Analysis
1695,Mathematical Modeling
1698,Mathematical Physics
1699,Mathematical Programming
1701,Mathematics Foundation
1618,MATLAB
1716,Mechatronics
1724,Medical Anthropology
1726,Medicine
1733,Metabolic Engineering
1734,Metal Forming
1735,Metallurgical Engineering
1742,Microeconomics
1753,Microsoft Hyper-V
1763,Microsoft Powerpoint
1765,Microsoft Visio
1772,Military Education
1775,Military History
1777,Military Organization
1780,Military Strategy and Tactics
1781,Military Technology Engineering
