skill_1_id,skill_2_id,skill_1_id,skill_2_id
11,2.0,,
12,2.0,,
13,74.0,,
14,74.0,,
15,1.0,,
16,3.0,,
17,170.0,,
18,10.0,,
19,74.0,,
20,1.0,,
21,1.0,,
21,8.0,,
22,1.0,,
23,1.0,,
24,10.0,,
25,3.0,,
26,171.0,,
27,170.0,,
28,3.0,,
28,4.0,,
29,170.0,,
30,74.0,,
31,74.0,,
32,170.0,,
33,170.0,,
34,2.0,,
35,2.0,,
36,2.0,,
37,74.0,,
38,74.0,,
39,171.0,,
40,74.0,,
41,6.0,,
42,10.0,,
43,3.0,,
44,3.0,,
45,3.0,,
46,3.0,,
47,3.0,,
48,74.0,,
49,3.0,,
50,1.0,,
51,3.0,,
52,10.0,,
53,4.0,,
54,6.0,,
55,3.0,,
56,3.0,,
57,10.0,,
58,2063.0,,
59,24.0,,
60,2.0,,
61,10.0,,
62,3.0,,
62,8.0,,
63,3.0,,
64,171.0,,
65,170.0,,
66,2.0,,
67,2.0,,
67,10.0,,
68,1.0,,
68,10.0,,
69,74.0,,
70,74.0,,
71,74.0,,
72,1.0,,
73,1.0,,
74,1.0,,
75,74.0,,
76,74.0,,
77,2.0,,
78,1.0,,
78,171.0,,
79,10.0,,
80,2.0,,
81,10.0,,
82,1.0,,
83,450.0,,
84,10.0,,
85,10.0,,
86,171.0,,
87,10.0,,
88,170.0,,
89,1.0,,
90,170.0,,
91,10.0,,
92,2.0,,
93,74.0,,
94,10.0,,
95,450.0,,
96,74.0,,
97,10.0,,
98,10.0,,
99,74.0,,
100,10.0,,
101,2.0,,
102,10.0,,
103,10.0,,
104,10.0,,
105,4.0,,
106,1.0,,
106,2.0,,
106,10.0,,
107,74.0,,
108,2.0,,
109,74.0,,
110,3.0,,
111,450.0,,
112,74.0,,
113,10.0,,
114,171.0,,
115,170.0,,
116,1.0,,
117,74.0,,
118,1.0,,
119,74.0,,
120,6.0,,
121,6.0,,
122,2063.0,,
123,74.0,,
124,170.0,,
125,171.0,,
126,6.0,,
127,2.0,,
128,3.0,,
129,170.0,,
130,10.0,,
131,171.0,,
132,10.0,,
133,10.0,,
134,10.0,,
135,74.0,,
136,10.0,,
137,4.0,,
138,3.0,,
139,2.0,,
140,170.0,,
140,10.0,,
141,10.0,,
142,170.0,,
143,8.0,,
144,10.0,,
145,2.0,,
146,2.0,,
147,10.0,,
148,3.0,,
149,6.0,,
150,74.0,,
151,10.0,,
152,10.0,,
153,6.0,,
154,3.0,,
155,3.0,,
155,74.0,,
156,1.0,,
156,171.0,,
157,1.0,,
158,4.0,,
159,6.0,,
160,171.0,,
161,10.0,,
162,10.0,,
163,74.0,,
164,3.0,,
165,3.0,,
166,170.0,,
167,169.0,,
168,3.0,,
168,8.0,,
169,1.0,,
170,9.0,,
171,9.0,,
172,138.0,,
173,108.0,,
12,106.0,,
174,12.0,,
174,80.0,,
175,112.0,,
176,59.0,,
177,59.0,,
178,138.0,,
179,153.0,,
180,59.0,,
181,59.0,,
182,59.0,,
183,13.0,,
183,112.0,,
184,59.0,,
184,130.0,,
185,34.0,,
14,31.0,,
186,14.0,,
187,15.0,,
188,143.0,,
16,154.0,,
189,155.0,,
190,109.0,,
191,132.0,,
192,154.0,,
193,15.0,,
194,49.0,,
195,104.0,,
196,18.0,,
197,18.0,,
198,138.0,,
199,154.0,,
200,18.0,,
20,104.0,,
201,140.0,,
202,15.0,,
203,18.0,,
204,40.0,,
205,23.0,,
205,40.0,,
206,138.0,,
207,13.0,,
208,156.0,,
26,156.0,,
209,131.0,,
210,164.0,,
211,25.0,,
212,112.0,,
213,138.0,,
214,108.0,,
215,140.0,,
216,67.0,,
217,28.0,,
218,34.0,,
219,67.0,,
220,148.0,,
221,104.0,,
222,109.0,,
223,31.0,,
224,31.0,,
225,140.0,,
226,269.0,,
227,132.0,,
228,108.0,,
229,69.0,,
230,23.0,,
231,34.0,,
36,106.0,,
232,146.0,,
233,146.0,,
234,138.0,,
235,138.0,,
236,138.0,,
237,43.0,,
238,85.0,,
239,59.0,,
239,108.0,,
240,109.0,,
37,109.0,,
241,120.0,,
242,120.0,,
243,120.0,,
244,134.0,,
245,131.0,,
246,104.0,,
247,140.0,,
248,138.0,,
249,146.0,,
250,108.0,,
251,138.0,,
252,154.0,,
253,110.0,,
254,104.0,,
255,140.0,,
256,146.0,,
257,138.0,,
258,59.0,,
259,59.0,,
260,117.0,,
261,62.0,,
261,143.0,,
262,138.0,,
263,113.0,,
264,67.0,,
265,104.0,,
266,134.0,,
267,36.0,,
268,45.0,,
269,45.0,,
270,109.0,,
271,120.0,,
272,111.0,,
272,164.0,,
273,148.0,,
274,148.0,,
275,46.0,,
275,164.0,,
276,104.0,,
277,148.0,,
278,148.0,,
279,21.0,,
279,148.0,,
280,25.0,,
48,50.0,,
48,69.0,,
49,59.0,,
281,155.0,,
282,44.0,,
283,25.0,,
284,155.0,,
285,132.0,,
286,51.0,,
287,131.0,,
288,154.0,,
289,89.0,,
290,40.0,,
291,43.0,,
292,70.0,,
292,93.0,,
293,108.0,,
294,108.0,,
295,109.0,,
296,131.0,,
297,132.0,,
298,108.0,,
299,59.0,,
299,108.0,,
300,152.0,,
301,44.0,,
302,109.0,,
303,24.0,,
304,18.0,,
305,140.0,,
306,146.0,,
307,159.0,,
308,138.0,,
53,108.0,,
309,34.0,,
310,56.0,,
311,108.0,,
312,154.0,,
313,132.0,,
314,105.0,,
315,138.0,,
57,152.0,,
316,89.0,,
59,154.0,,
317,165.0,,
318,67.0,,
319,104.0,,
320,140.0,,
321,104.0,,
322,146.0,,
323,108.0,,
324,59.0,,
325,104.0,,
62,110.0,,
326,63.0,,
327,154.0,,
328,121.0,,
329,59.0,,
330,138.0,,
331,67.0,,
332,67.0,,
333,67.0,,
334,67.0,,
335,67.0,,
336,49.0,,
337,140.0,,
338,146.0,,
339,138.0,,
340,131.0,,
341,70.0,,
71,69.0,,
71,72.0,,
342,69.0,,
343,109.0,,
344,43.0,,
345,108.0,,
346,146.0,,
347,67.0,,
348,93.0,,
349,77.0,,
350,34.0,,
351,67.0,,
