index,1 - Primary Education,2 - PMR / PT3,3 - SPM / O Level / SKM,4 - STPM / A Level,5 - Diploma / DVM,6 - Bachelor's,7 - Master's,8 - Doctoral (PhD),total
Graphic Design,12.0,12.0,121.0,14.0,61.0,75.0,,1.0,296.0
Advertising,11.0,17.0,130.0,4.0,62.0,59.0,1.0,2.0,286.0
Business Development,9.0,15.0,112.0,6.0,75.0,60.0,1.0,1.0,279.0
Metals,11.0,17.0,108.0,3.0,77.0,57.0,1.0,1.0,275.0
Image,12.0,16.0,110.0,13.0,78.0,46.0,,,275.0
Hardware,6.0,15.0,115.0,7.0,55.0,72.0,2.0,,272.0
Production Process,13.0,10.0,132.0,7.0,60.0,50.0,,,272.0
Automation,11.0,23.0,124.0,7.0,52.0,49.0,3.0,3.0,272.0
Information Technology,12.0,14.0,110.0,7.0,63.0,63.0,,1.0,270.0
Programming,9.0,16.0,105.0,10.0,67.0,61.0,,1.0,269.0
Policy,9.0,11.0,103.0,5.0,61.0,78.0,,1.0,268.0
Distribution,8.0,14.0,109.0,2.0,69.0,65.0,,,267.0
Human Resource,10.0,17.0,107.0,7.0,71.0,48.0,2.0,,262.0
SQL,6.0,14.0,112.0,9.0,50.0,64.0,1.0,1.0,257.0
Collaboration,12.0,12.0,121.0,7.0,61.0,37.0,1.0,1.0,252.0
List,9.0,19.0,99.0,6.0,76.0,41.0,1.0,1.0,252.0
Chemical,9.0,16.0,96.0,2.0,70.0,56.0,1.0,1.0,251.0
Malay,10.0,19.0,85.0,9.0,61.0,61.0,3.0,2.0,250.0
Insurance,8.0,11.0,96.0,4.0,62.0,63.0,4.0,1.0,249.0
Retail,12.0,14.0,97.0,5.0,68.0,53.0,,,249.0
Ad Design,4.0,19.0,104.0,9.0,61.0,43.0,3.0,,243.0
Preference,10.0,11.0,97.0,2.0,59.0,61.0,2.0,,242.0
Architecture,10.0,12.0,102.0,6.0,59.0,44.0,2.0,1.0,236.0
Culture,11.0,22.0,103.0,3.0,41.0,54.0,,1.0,235.0
Accountancy,9.0,17.0,101.0,10.0,58.0,39.0,,,234.0
Quality Control,8.0,21.0,99.0,3.0,64.0,38.0,,,233.0
AutoCAD,7.0,17.0,98.0,4.0,54.0,49.0,1.0,,230.0
Scheduling,8.0,13.0,102.0,4.0,59.0,40.0,3.0,,229.0
Art,10.0,9.0,97.0,5.0,54.0,53.0,,,228.0
Brand Management,10.0,16.0,81.0,3.0,59.0,55.0,,,224.0
Human Resources (HR),8.0,16.0,89.0,7.0,62.0,40.0,1.0,,223.0
Agile,6.0,15.0,107.0,4.0,46.0,39.0,1.0,1.0,219.0
Project Management,5.0,18.0,84.0,8.0,50.0,47.0,,2.0,214.0
Quality Assurance,8.0,13.0,95.0,6.0,45.0,46.0,,1.0,214.0
Operating Systems,12.0,15.0,86.0,7.0,54.0,38.0,,,212.0
Operating System,12.0,15.0,86.0,7.0,54.0,38.0,,,212.0
Compiler,7.0,13.0,84.0,5.0,58.0,43.0,,1.0,211.0
Analytics,4.0,11.0,103.0,5.0,47.0,38.0,1.0,,209.0
Configuration,6.0,10.0,94.0,2.0,53.0,43.0,1.0,,209.0
Innovation,10.0,14.0,89.0,2.0,40.0,50.0,1.0,,206.0
Translation,8.0,13.0,81.0,7.0,48.0,47.0,,,204.0
Transportation,8.0,17.0,83.0,2.0,53.0,37.0,1.0,,201.0
Sorting,5.0,14.0,72.0,3.0,59.0,45.0,1.0,1.0,200.0
Facebook,3.0,11.0,93.0,3.0,47.0,38.0,4.0,1.0,200.0
Assembly,9.0,16.0,72.0,7.0,50.0,44.0,1.0,1.0,200.0
Coding,6.0,12.0,77.0,2.0,56.0,43.0,,1.0,197.0
Unemployment,5.0,13.0,73.0,8.0,52.0,39.0,,,190.0
Selection,3.0,20.0,69.0,5.0,55.0,37.0,1.0,,190.0
IT Operations,10.0,13.0,90.0,4.0,44.0,27.0,,1.0,189.0
Physical,5.0,15.0,73.0,7.0,46.0,41.0,1.0,1.0,189.0
Closing,10.0,7.0,83.0,7.0,41.0,37.0,,1.0,186.0
Digital Marketing,10.0,10.0,74.0,5.0,41.0,45.0,,,185.0
Digital marketing,10.0,10.0,74.0,5.0,41.0,45.0,,,185.0
Coaching,6.0,14.0,66.0,6.0,48.0,39.0,2.0,1.0,182.0
Internet,8.0,9.0,91.0,1.0,48.0,20.0,,3.0,180.0
Software Development,7.0,5.0,81.0,2.0,44.0,37.0,1.0,,177.0
TIme Management,6.0,17.0,75.0,2.0,52.0,25.0,,,177.0
Expectations,3.0,6.0,66.0,3.0,47.0,50.0,1.0,1.0,177.0
Time Management,6.0,17.0,75.0,2.0,52.0,25.0,,,177.0
Technical Support,1.0,18.0,66.0,3.0,47.0,38.0,2.0,1.0,176.0
Profit,8.0,13.0,60.0,5.0,48.0,40.0,1.0,,175.0
Mechanical Engineering,8.0,15.0,73.0,2.0,39.0,37.0,,,174.0
Procurement,4.0,14.0,61.0,5.0,51.0,37.0,,1.0,173.0
Cooking,6.0,8.0,57.0,1.0,61.0,32.0,1.0,1.0,167.0
Financial Statement,10.0,4.0,66.0,5.0,41.0,39.0,2.0,,167.0
Market Research,8.0,8.0,70.0,2.0,44.0,35.0,,,167.0
Creatio,7.0,12.0,66.0,3.0,38.0,41.0,,,167.0
JavaScript,4.0,7.0,65.0,5.0,44.0,38.0,1.0,1.0,165.0
Teamwork,5.0,14.0,64.0,4.0,37.0,39.0,,,163.0
Marketing Research,8.0,8.0,70.0,2.0,43.0,32.0,,,163.0
Windows,8.0,12.0,67.0,3.0,34.0,35.0,,1.0,160.0
Product Development,1.0,8.0,67.0,2.0,38.0,41.0,,,157.0
Nonverbal Communication,6.0,8.0,74.0,4.0,39.0,25.0,1.0,,157.0
Healthcare,6.0,11.0,67.0,2.0,43.0,26.0,1.0,1.0,157.0
Investment,5.0,4.0,80.0,3.0,36.0,29.0,,,157.0
Ada,11.0,15.0,49.0,,44.0,32.0,2.0,2.0,155.0
Java,4.0,9.0,74.0,5.0,30.0,26.0,2.0,1.0,151.0
Welding,11.0,13.0,63.0,3.0,35.0,24.0,2.0,,151.0
IPython,2.0,9.0,57.0,4.0,41.0,36.0,,,149.0
Python,2.0,9.0,57.0,4.0,41.0,36.0,,,149.0
Fabrication,6.0,13.0,57.0,2.0,43.0,25.0,2.0,,148.0
Electronic Engineering,2.0,10.0,57.0,2.0,32.0,41.0,1.0,1.0,146.0
Editing,7.0,12.0,53.0,4.0,43.0,25.0,,1.0,145.0
Consulting,4.0,8.0,63.0,7.0,40.0,21.0,1.0,1.0,145.0
Electrical Engineering,2.0,13.0,61.0,1.0,27.0,39.0,1.0,1.0,145.0
Creativity,2.0,12.0,63.0,2.0,34.0,30.0,,2.0,145.0
Adobe,3.0,9.0,56.0,6.0,34.0,33.0,,,141.0
SAP,3.0,5.0,59.0,6.0,37.0,26.0,2.0,,138.0
Risk Management,3.0,10.0,58.0,5.0,28.0,33.0,,,137.0
Forecasting,5.0,5.0,51.0,2.0,45.0,28.0,1.0,,137.0
Lean Software Development,7.0,5.0,59.0,2.0,32.0,30.0,1.0,,136.0
Accounts Payable,5.0,5.0,54.0,3.0,29.0,36.0,,,132.0
Account Payable,5.0,5.0,54.0,3.0,29.0,36.0,,,132.0
Statistics,5.0,5.0,47.0,5.0,32.0,36.0,,,130.0
Software Engineering,3.0,8.0,52.0,6.0,30.0,31.0,,,130.0
Router,8.0,9.0,47.0,3.0,31.0,32.0,,,130.0
Interpreter,6.0,6.0,62.0,1.0,32.0,21.0,,,128.0
Business Plan,6.0,6.0,49.0,1.0,34.0,31.0,1.0,,128.0
Networking,2.0,9.0,58.0,,33.0,23.0,2.0,,127.0
Business Process,3.0,7.0,60.0,6.0,26.0,23.0,,,125.0
Plastics,1.0,8.0,53.0,4.0,38.0,18.0,2.0,,124.0
Instagram,1.0,6.0,65.0,3.0,29.0,20.0,,,124.0
Account Receivable,3.0,9.0,53.0,3.0,28.0,26.0,,,122.0
RStudio,4.0,6.0,52.0,4.0,28.0,25.0,,,119.0
Rstudio,4.0,6.0,52.0,4.0,28.0,25.0,,,119.0
Photography,6.0,5.0,53.0,1.0,24.0,25.0,3.0,1.0,118.0
Presenting,4.0,9.0,43.0,1.0,38.0,23.0,,,118.0
Information System,5.0,6.0,43.0,1.0,34.0,27.0,,,116.0
Information Systems,5.0,6.0,43.0,1.0,34.0,27.0,,,116.0
Agile Software Development,6.0,5.0,62.0,2.0,21.0,20.0,,,116.0
Business Administration,4.0,9.0,41.0,2.0,29.0,30.0,,,115.0
Addition,4.0,4.0,60.0,3.0,27.0,16.0,1.0,,115.0
MySQL,1.0,4.0,45.0,3.0,31.0,29.0,,,113.0
Trade,4.0,4.0,51.0,2.0,25.0,26.0,1.0,,113.0
Decision Making,3.0,6.0,46.0,,33.0,22.0,1.0,1.0,112.0
Machine Learning,1.0,5.0,35.0,3.0,30.0,34.0,1.0,1.0,110.0
Hospitality,9.0,7.0,51.0,4.0,22.0,15.0,1.0,,109.0
Balance Sheet,6.0,8.0,40.0,3.0,25.0,25.0,,,107.0
User Experience (UX),5.0,4.0,46.0,2.0,21.0,28.0,,,106.0
Oracle,3.0,6.0,53.0,3.0,16.0,25.0,,,106.0
Modeling,6.0,5.0,40.0,3.0,23.0,28.0,,,105.0
Methodology,5.0,8.0,39.0,6.0,23.0,23.0,1.0,,105.0
Quality Management,4.0,7.0,41.0,2.0,31.0,18.0,,,103.0
Box,,3.0,55.0,3.0,20.0,22.0,,,103.0
PHP,2.0,7.0,34.0,3.0,35.0,21.0,,,102.0
Effective Communication,5.0,9.0,44.0,2.0,28.0,13.0,,,101.0
Protocol,5.0,6.0,38.0,2.0,31.0,18.0,,,100.0
Publishing,3.0,6.0,32.0,7.0,29.0,23.0,,,100.0
R,5.0,4.0,40.0,3.0,28.0,18.0,1.0,,99.0
Dashboard,6.0,9.0,38.0,1.0,21.0,20.0,1.0,,96.0
Saving,5.0,6.0,39.0,,26.0,18.0,1.0,,95.0
Microsoft Excel,3.0,5.0,35.0,6.0,28.0,18.0,,,95.0
Programming Language,3.0,2.0,30.0,1.0,28.0,30.0,,,94.0
Adobe Photoshop,,5.0,41.0,5.0,17.0,26.0,,,94.0
Chart,,7.0,33.0,1.0,24.0,27.0,1.0,1.0,94.0
Objective-C,4.0,2.0,38.0,1.0,28.0,19.0,2.0,,94.0
Software Development Kit (SDK),5.0,5.0,43.0,1.0,21.0,18.0,,,93.0
Microsoft Office 365,4.0,3.0,34.0,1.0,28.0,22.0,,,92.0
Linux,1.0,5.0,40.0,3.0,19.0,23.0,,,91.0
Git,2.0,4.0,29.0,1.0,24.0,31.0,,,91.0
Accounting Software,1.0,5.0,39.0,4.0,21.0,20.0,1.0,,91.0
Office Administration,1.0,8.0,36.0,2.0,25.0,17.0,1.0,,90.0
Automotive,3.0,7.0,39.0,2.0,20.0,19.0,,,90.0
Critical Thinking,1.0,6.0,39.0,3.0,22.0,17.0,1.0,,89.0
Perceptron,6.0,9.0,39.0,2.0,15.0,17.0,,,88.0
Human Resource Management,4.0,8.0,35.0,2.0,31.0,7.0,1.0,,88.0
Software Tool,2.0,6.0,33.0,3.0,20.0,22.0,,1.0,87.0
Economics,1.0,6.0,35.0,2.0,18.0,24.0,,,86.0
Business Operations,3.0,8.0,32.0,1.0,27.0,13.0,1.0,,85.0
Mathematics,2.0,4.0,36.0,3.0,17.0,22.0,,,84.0
Telemarketing,3.0,5.0,33.0,2.0,21.0,19.0,,,83.0
Medium,,5.0,40.0,2.0,20.0,16.0,,,83.0
Azure,4.0,9.0,35.0,2.0,15.0,18.0,,,83.0
Searching,4.0,7.0,30.0,,25.0,17.0,,,83.0
C#,2.0,8.0,35.0,2.0,17.0,18.0,,,82.0
Organizational Skill,2.0,1.0,36.0,1.0,18.0,23.0,,1.0,82.0
Software Development Life Cycle,4.0,4.0,41.0,1.0,20.0,11.0,,,81.0
Telecommunication,2.0,5.0,38.0,,19.0,17.0,,,81.0
Business Analysis,5.0,3.0,39.0,3.0,18.0,12.0,,,80.0
Biology,,3.0,34.0,4.0,24.0,15.0,,,80.0
Management Accounting,4.0,5.0,32.0,5.0,26.0,8.0,,,80.0
Data Analysis,1.0,5.0,34.0,2.0,18.0,18.0,1.0,,79.0
Civil Engineering,1.0,5.0,43.0,1.0,11.0,16.0,,,77.0
Customer Service System,,2.0,37.0,2.0,18.0,17.0,,1.0,77.0
Sports,7.0,3.0,24.0,2.0,21.0,20.0,,,77.0
DevOps,4.0,2.0,35.0,2.0,12.0,19.0,1.0,1.0,76.0
Mechatronics,2.0,7.0,37.0,1.0,12.0,16.0,1.0,,76.0
Kubernetes,2.0,4.0,33.0,2.0,16.0,16.0,1.0,1.0,75.0
Recruiting,1.0,6.0,29.0,1.0,27.0,10.0,1.0,,75.0
Customer Experience,3.0,3.0,25.0,,21.0,23.0,,,75.0
Social Media Platform,3.0,4.0,32.0,1.0,24.0,10.0,,,74.0
Web Application,1.0,3.0,28.0,3.0,24.0,15.0,,,74.0
Shell,2.0,4.0,38.0,2.0,10.0,16.0,1.0,,73.0
History,4.0,6.0,30.0,,22.0,10.0,,,72.0
Machining,4.0,6.0,23.0,1.0,24.0,14.0,,,72.0
Firm,5.0,3.0,30.0,4.0,17.0,13.0,,,72.0
Scripting,6.0,3.0,29.0,2.0,11.0,21.0,,,72.0
Algorithm,2.0,1.0,22.0,1.0,19.0,27.0,,,72.0
Scrum,3.0,5.0,34.0,2.0,14.0,13.0,,,71.0
Twitter,1.0,8.0,34.0,,17.0,9.0,1.0,1.0,71.0
Business Management,3.0,5.0,20.0,3.0,22.0,18.0,,,71.0
Systems Theory,2.0,6.0,25.0,1.0,15.0,22.0,,,71.0
Online Media,2.0,3.0,23.0,6.0,22.0,14.0,,,70.0
Software Development Life Cycle (SDLC),3.0,4.0,34.0,,18.0,10.0,,,69.0
Editor,3.0,5.0,20.0,,23.0,17.0,1.0,,69.0
Calendar,6.0,4.0,25.0,2.0,11.0,21.0,,,69.0
