index,1 - Primary Education,2 - PMR / PT3,3 - SPM / O Level / SKM,4 - STPM / A Level,5 - Diploma / DVM,6 - Bachelor's,7 - Master's,8 - Doctoral (PhD),total
Sustainability,2.0,6.0,8.0,,15.0,6.0,1.0,,38.0
Rapid Application Development,1.0,4.0,19.0,,7.0,7.0,,,38.0
Template,,1.0,22.0,,9.0,6.0,,,38.0
Database Management System,,1.0,21.0,3.0,8.0,5.0,,,38.0
jQuery,1.0,1.0,12.0,2.0,9.0,13.0,,,38.0
Risk Analysis,2.0,,15.0,,8.0,12.0,1.0,,38.0
Blockchain,,,15.0,1.0,10.0,11.0,1.0,,38.0
Nutrition,1.0,1.0,16.0,1.0,11.0,6.0,1.0,,37.0
Industrial Relations,,2.0,11.0,1.0,12.0,11.0,,,37.0
Customer Service Systems,,3.0,14.0,3.0,8.0,9.0,,,37.0
Nursing,,1.0,14.0,,15.0,7.0,,,37.0
Airlines,2.0,7.0,13.0,1.0,9.0,4.0,,,36.0
Mechanics,3.0,1.0,13.0,4.0,8.0,7.0,,,36.0
Debugging,,,15.0,2.0,10.0,8.0,,1.0,36.0
Software Design,1.0,4.0,17.0,,6.0,7.0,1.0,,36.0
Korean,,1.0,17.0,1.0,8.0,9.0,,,36.0
Relational Database,1.0,1.0,8.0,1.0,11.0,14.0,,,36.0
ML,1.0,,10.0,2.0,8.0,15.0,,,36.0
Virtualization,1.0,5.0,14.0,,8.0,8.0,,,36.0
Distributed Computing,,1.0,13.0,,8.0,13.0,1.0,,36.0
Microsoft Word,2.0,,15.0,1.0,12.0,6.0,,,36.0
PostgreSQL,1.0,3.0,11.0,1.0,13.0,7.0,,,36.0
Growth Strategy,1.0,3.0,7.0,,17.0,7.0,,,35.0
Network Security,1.0,2.0,15.0,1.0,4.0,11.0,,1.0,35.0
Beaker,2.0,,19.0,1.0,6.0,7.0,,,35.0
PL,2.0,6.0,13.0,,6.0,8.0,,,35.0
Chemistry,1.0,3.0,14.0,3.0,7.0,5.0,,1.0,34.0
Solaris,2.0,,21.0,1.0,6.0,4.0,,,34.0
CMM,1.0,2.0,16.0,3.0,6.0,6.0,,,34.0
Unix,1.0,,26.0,,4.0,2.0,1.0,,34.0
News,,,11.0,4.0,7.0,11.0,1.0,,34.0
Psychology,,1.0,15.0,,7.0,8.0,3.0,,34.0
Artificial Intelligence,,1.0,13.0,1.0,13.0,5.0,1.0,,34.0
Semiconductors,2.0,4.0,11.0,1.0,7.0,9.0,,,34.0
Induction,,4.0,13.0,1.0,11.0,5.0,,,34.0
Vmware,,3.0,13.0,,5.0,12.0,,1.0,34.0
Property Management,,3.0,16.0,2.0,4.0,9.0,,,34.0
Adaptability,1.0,2.0,13.0,2.0,12.0,3.0,,,33.0
Business Acumen,,1.0,18.0,,8.0,6.0,,,33.0
C++,1.0,2.0,12.0,1.0,6.0,11.0,,,33.0
Aesthetics,3.0,1.0,12.0,1.0,8.0,8.0,,,33.0
Client Relations,,2.0,14.0,2.0,9.0,5.0,,,32.0
Google Cloud Platform (GCP),,1.0,10.0,,8.0,13.0,,,32.0
Google Cloud Platform,,1.0,10.0,,8.0,13.0,,,32.0
UX Design,2.0,2.0,15.0,,4.0,9.0,,,32.0
Instrumentation,1.0,1.0,9.0,2.0,9.0,10.0,,,32.0
Graph,1.0,2.0,13.0,,7.0,9.0,,,32.0
Literature,,2.0,11.0,1.0,10.0,7.0,,1.0,32.0
Medicine,2.0,4.0,14.0,,9.0,2.0,,,31.0
Systems Development,1.0,3.0,8.0,3.0,11.0,5.0,,,31.0
CVS,1.0,5.0,11.0,1.0,10.0,2.0,1.0,,31.0
Sales Presentation,,1.0,14.0,2.0,8.0,5.0,1.0,,31.0
Information Systems Security,,3.0,11.0,1.0,8.0,8.0,,,31.0
Accounting and Finance,,1.0,13.0,,11.0,6.0,,,31.0
Customer Relationship Management,2.0,,9.0,,9.0,11.0,,,31.0
Management Consulting,2.0,2.0,10.0,4.0,5.0,8.0,,,31.0
Industrial Engineering,,2.0,17.0,1.0,6.0,4.0,,,30.0
Web Server,,2.0,14.0,2.0,2.0,10.0,,,30.0
PHP Development,,2.0,14.0,1.0,10.0,3.0,,,30.0
Data Science Tool,1.0,,6.0,2.0,8.0,13.0,,,30.0
Wireframes,1.0,,6.0,,11.0,12.0,,,30.0
Web Servers,,2.0,14.0,2.0,2.0,10.0,,,30.0
Social Media Marketing,2.0,2.0,13.0,,8.0,5.0,,,30.0
Entrepreneurship,2.0,1.0,13.0,,11.0,3.0,,,30.0
Kafka,2.0,1.0,10.0,2.0,9.0,4.0,1.0,,29.0
Variable,3.0,1.0,9.0,1.0,7.0,8.0,,,29.0
Business Continuity Planning,2.0,6.0,6.0,,5.0,10.0,,,29.0
Predictive Modeling,1.0,1.0,7.0,,7.0,13.0,,,29.0
Customer Relationship Management (CRM),1.0,,8.0,,9.0,11.0,,,29.0
Therapy,1.0,1.0,12.0,,9.0,5.0,,1.0,29.0
Shortage,1.0,1.0,5.0,1.0,13.0,8.0,,,29.0
Motion Pictures,1.0,2.0,12.0,,5.0,9.0,,,29.0
Outreach,1.0,2.0,9.0,,9.0,7.0,,,28.0
Theatre,1.0,2.0,12.0,,5.0,8.0,,,28.0
Biotechnology,,2.0,11.0,2.0,11.0,1.0,1.0,,28.0
Development Management,1.0,2.0,12.0,,6.0,5.0,,1.0,27.0
Mergers and Acquisitions (M&A),2.0,1.0,11.0,1.0,6.0,6.0,,,27.0
Labour and Employment Law,2.0,2.0,10.0,1.0,7.0,4.0,,,26.0
Terraform,1.0,1.0,13.0,,6.0,4.0,1.0,,26.0
Cold Calling,,,12.0,,7.0,7.0,,,26.0
Social Security,,2.0,10.0,1.0,5.0,8.0,,,26.0
Special Effects,2.0,5.0,9.0,1.0,4.0,5.0,,,26.0
Polish,1.0,4.0,7.0,,8.0,6.0,,,26.0
Laravel,,,13.0,2.0,7.0,4.0,,,26.0
Quality Engineering,,,10.0,,9.0,7.0,,,26.0
Computer Engineering,,1.0,7.0,2.0,5.0,11.0,,,26.0
Cloud Service,1.0,3.0,8.0,1.0,9.0,4.0,,,26.0
Income Statement,,2.0,10.0,2.0,6.0,6.0,,,26.0
Analytical Thinking,,8.0,9.0,,5.0,3.0,,,25.0
System Administration,1.0,2.0,8.0,2.0,6.0,6.0,,,25.0
Sports Engineering,1.0,,12.0,1.0,6.0,4.0,1.0,,25.0
Project Supervision,1.0,,15.0,,4.0,5.0,,,25.0
Variance Analysis,,1.0,10.0,,10.0,4.0,,,25.0
Business Intelligence,1.0,1.0,8.0,2.0,6.0,7.0,,,25.0
Array,,3.0,6.0,,8.0,7.0,,,24.0
Data Management,,,10.0,2.0,6.0,6.0,,,24.0
Google Analytics,1.0,,15.0,,5.0,3.0,,,24.0
Cash Flow Management,1.0,,12.0,1.0,9.0,1.0,,,24.0
Ansible,1.0,1.0,15.0,,3.0,4.0,,,24.0
Supply Chain Risk Management,,1.0,11.0,,9.0,3.0,,,24.0
Optics,1.0,2.0,9.0,,7.0,5.0,,,24.0
International Business,,2.0,8.0,,9.0,5.0,,,24.0
Delegation,,1.0,9.0,,11.0,3.0,,,24.0
Full Stack Software Engineering,,3.0,10.0,1.0,6.0,4.0,,,24.0
Ruby,1.0,2.0,9.0,,7.0,5.0,,,24.0
XML,1.0,2.0,9.0,1.0,7.0,4.0,,,24.0
Poster,1.0,2.0,12.0,,4.0,5.0,,,24.0
Data Capture,,1.0,12.0,2.0,1.0,8.0,,,24.0
Power Management,,1.0,12.0,2.0,1.0,8.0,,,24.0
Textiles,,2.0,9.0,2.0,7.0,4.0,,,24.0
Tensorflow,1.0,,4.0,2.0,6.0,11.0,,,24.0
Scikit-learn,1.0,,4.0,2.0,6.0,11.0,,,24.0
PyTorch,1.0,,4.0,2.0,6.0,11.0,,,24.0
Authentication,1.0,1.0,7.0,,2.0,13.0,,,24.0
Public Relations and Communications,,3.0,9.0,,6.0,6.0,,,24.0
TensorFlow,1.0,,4.0,2.0,6.0,11.0,,,24.0
Brainstorming,1.0,1.0,10.0,2.0,6.0,3.0,,1.0,24.0
Newsletters,1.0,2.0,9.0,1.0,6.0,5.0,,,24.0
Wordpress,1.0,1.0,11.0,,5.0,5.0,,,23.0
WordPress,1.0,1.0,11.0,,5.0,5.0,,,23.0
Financial Analysis,,2.0,10.0,1.0,6.0,4.0,,,23.0
Benchmarking,,2.0,13.0,,6.0,2.0,,,23.0
Physics,1.0,3.0,11.0,2.0,2.0,4.0,,,23.0
Data Visualization,1.0,,13.0,,5.0,4.0,,,23.0
Middleware,2.0,2.0,13.0,,5.0,1.0,,,23.0
Office Management,,2.0,5.0,2.0,11.0,3.0,,,23.0
Bash,,1.0,13.0,,2.0,6.0,,,22.0
Data Structure,1.0,,6.0,,9.0,6.0,,,22.0
Information Security,1.0,,8.0,,4.0,9.0,,,22.0
Lead Generation,,1.0,11.0,2.0,4.0,4.0,,,22.0
Route Management,,3.0,12.0,,4.0,3.0,,,22.0
Video Production,1.0,2.0,7.0,,9.0,3.0,,,22.0
Confluence,,1.0,5.0,,5.0,11.0,,,22.0
eCommerce Platforms,,1.0,14.0,,3.0,4.0,,,22.0
Linker,1.0,2.0,6.0,,6.0,7.0,,,22.0
Cloud Computing,1.0,1.0,6.0,2.0,7.0,4.0,1.0,,22.0
Casting,1.0,,12.0,,4.0,5.0,,,22.0
Pharmacy,1.0,3.0,11.0,,3.0,3.0,,,21.0
Front End,,,9.0,2.0,7.0,2.0,1.0,,21.0
MS SQL Server,,2.0,7.0,2.0,8.0,2.0,,,21.0
Electromechanics,,2.0,9.0,1.0,2.0,7.0,,,21.0
iland,,,9.0,,6.0,6.0,,,21.0
Nice,1.0,,12.0,,4.0,3.0,,,20.0
Radio,,4.0,6.0,1.0,6.0,3.0,,,20.0
Content Management,,,2.0,3.0,5.0,10.0,,,20.0
Ecology,,,8.0,1.0,6.0,5.0,,,20.0
Italian,,3.0,10.0,,5.0,2.0,,,20.0
Automotive Engineering,,2.0,7.0,,6.0,5.0,,,20.0
Graph Database Management System,,,10.0,,5.0,5.0,,,20.0
Source Control,,,11.0,1.0,4.0,4.0,,,20.0
Statistical Model,,1.0,6.0,,5.0,8.0,,,20.0
Responsive Design,1.0,,10.0,,2.0,7.0,,,20.0
Regression Analysis,,1.0,6.0,,4.0,8.0,,,19.0
NP Completeness,1.0,1.0,6.0,1.0,9.0,1.0,,,19.0
Unity,2.0,,8.0,,3.0,6.0,,,19.0
Zoom,,2.0,7.0,1.0,4.0,4.0,,,18.0
Entertainment,,1.0,8.0,,3.0,6.0,,,18.0
Market Research Analysis,,1.0,7.0,,5.0,5.0,,,18.0
Agricultural Science,,2.0,7.0,1.0,4.0,4.0,,,18.0
Team Building,,3.0,8.0,,6.0,1.0,,,18.0
Streaming,1.0,,6.0,2.0,5.0,4.0,,,18.0
Maya,,2.0,6.0,2.0,4.0,4.0,,,18.0
Database Design,1.0,,7.0,3.0,3.0,4.0,,,18.0
Web Analytics,,,11.0,2.0,2.0,3.0,,,18.0
Equity,,,6.0,,2.0,10.0,,,18.0
QA Testing,,,8.0,,4.0,5.0,1.0,,18.0
SketchUp,,2.0,6.0,,7.0,3.0,,,18.0
Incident Management,1.0,1.0,9.0,,5.0,2.0,,,18.0
Spanish,1.0,1.0,9.0,,4.0,2.0,1.0,,18.0
Firewall,2.0,1.0,7.0,,2.0,6.0,,,18.0
Business Ethics,1.0,1.0,7.0,,3.0,6.0,,,18.0
Localization,1.0,,4.0,1.0,6.0,6.0,,,18.0
Data Mining,1.0,2.0,10.0,1.0,2.0,2.0,,,18.0
Newspapers,2.0,1.0,5.0,,6.0,4.0,,,18.0
Apparel,,1.0,9.0,,3.0,4.0,,,17.0
Data Preparation,,1.0,7.0,,4.0,5.0,,,17.0
Product Testing,,,6.0,,7.0,4.0,,,17.0
Online Business,1.0,1.0,3.0,,8.0,4.0,,,17.0
Manufacturing Operations,,1.0,4.0,,10.0,2.0,,,17.0
Web Framework,1.0,,10.0,,4.0,2.0,,,17.0
Computer Vision,1.0,,3.0,2.0,5.0,5.0,,,16.0
Industrial Automation,1.0,3.0,7.0,,1.0,3.0,1.0,,16.0
CISSP,1.0,1.0,4.0,,1.0,9.0,,,16.0
Unix Shell,1.0,,12.0,,1.0,1.0,1.0,,16.0
Graph Database,1.0,,6.0,,3.0,6.0,,,16.0
Configuration Management,2.0,1.0,8.0,,4.0,1.0,,,16.0
Password,,,4.0,,11.0,1.0,,,16.0
Strategic Planning,1.0,,8.0,1.0,6.0,,,,16.0
Corporate Communication,,3.0,7.0,,4.0,2.0,,,16.0
Version Control,,,9.0,1.0,2.0,4.0,,,16.0
Quantitative Research,,1.0,4.0,,4.0,7.0,,,16.0
Tax Accounting,,3.0,10.0,,2.0,1.0,,,16.0
Legal Management,,,9.0,,4.0,3.0,,,16.0
vSphere,,3.0,6.0,,5.0,2.0,,,16.0
Big Data Analysis,,1.0,11.0,,2.0,1.0,1.0,,16.0
Kotlin,1.0,1.0,10.0,,3.0,1.0,,,16.0
Marketing Analytics,2.0,,9.0,,3.0,2.0,,,16.0
Distributed System,2.0,,4.0,,6.0,3.0,1.0,,16.0
Mathematical Modeling,1.0,,4.0,1.0,2.0,8.0,,,16.0
Social Network,,1.0,10.0,,4.0,1.0,,,16.0
Forestry,,2.0,4.0,,6.0,3.0,1.0,,16.0
Load Balancing,,1.0,11.0,,3.0,1.0,,,16.0
Profiling,1.0,2.0,1.0,,8.0,4.0,,,16.0
Bond,,,7.0,,4.0,4.0,,1.0,16.0
Software Architecture,,2.0,3.0,,4.0,7.0,,,16.0
Telephony Application Programming Interface,,2.0,4.0,1.0,7.0,2.0,,,16.0
Performance Application Programming Interface,,2.0,4.0,1.0,7.0,2.0,,,16.0
Messaging Application Programming Interface,,2.0,4.0,1.0,7.0,2.0,,,16.0
Common ISDN Application Programming Interface (CAPI),,2.0,4.0,1.0,7.0,2.0,,,16.0
React Native,,,6.0,,3.0,7.0,,,16.0
Social Information System,,2.0,4.0,1.0,7.0,2.0,,,16.0
Management Information System (MIS),,1.0,6.0,,4.0,5.0,,,16.0
Chatbot,,1.0,4.0,,5.0,6.0,,,16.0
Network Architecture,,2.0,4.0,1.0,7.0,2.0,,,16.0
Application Programming Interface (API),,2.0,4.0,1.0,7.0,2.0,,,16.0
Tracking System,1.0,4.0,5.0,1.0,3.0,1.0,,,15.0
Salesforce,,1.0,7.0,,4.0,3.0,,,15.0
HTML and CSS,,,7.0,1.0,3.0,4.0,,,15.0
Communication and Security,,1.0,10.0,,2.0,2.0,,,15.0
Usability Engineering,,,5.0,,5.0,5.0,,,15.0
Object-Oriented Programming,,,2.0,,4.0,9.0,,,15.0
Object-oriented Programming,,,2.0,,4.0,9.0,,,15.0
Object-Oriented Programming (OOP),,,2.0,,4.0,9.0,,,15.0
Biomaterials Engineering,,5.0,6.0,,2.0,2.0,,,15.0
Commercial Law,1.0,,7.0,,4.0,3.0,,,15.0
Materials Engineering,,5.0,6.0,,2.0,2.0,,,15.0
Structural Engineering,,4.0,4.0,,3.0,4.0,,,15.0
Source Code Managemet,,3.0,4.0,,5.0,2.0,,,14.0
Machine Learning Algorithm,,,3.0,,3.0,8.0,,,14.0
Telecommunications Engineering,,1.0,9.0,,2.0,2.0,,,14.0
Cleanroom,,1.0,5.0,,3.0,5.0,,,14.0
Cost Accounting,,,7.0,,3.0,4.0,,,14.0
Ruby on Rails,1.0,1.0,2.0,,6.0,4.0,,,14.0
Social Media Management,1.0,,5.0,1.0,3.0,4.0,,,14.0
Legal Service,1.0,,7.0,,2.0,3.0,1.0,,14.0
Maintanence,,,10.0,,1.0,2.0,,1.0,14.0
Cisco Router,1.0,2.0,3.0,,3.0,5.0,,,14.0
Performance Review,,1.0,5.0,,3.0,5.0,,,14.0
Annual Report,,,5.0,,5.0,4.0,,,14.0
CouchDB,,,6.0,1.0,2.0,5.0,,,14.0
Apache,1.0,,6.0,2.0,,5.0,,,14.0
Energy Consumption,,2.0,3.0,,6.0,2.0,1.0,,14.0
Population,1.0,,7.0,,3.0,3.0,,,14.0
Tamil,1.0,,6.0,,5.0,2.0,,,14.0
Task Management,1.0,1.0,6.0,1.0,4.0,1.0,,,14.0
Naïve Bayes,,,3.0,,3.0,8.0,,,14.0
Food Production,,1.0,3.0,,7.0,3.0,,,14.0
Email Marketing Campaign,,,8.0,2.0,2.0,2.0,,,14.0
Oil and Gas,,2.0,4.0,,7.0,1.0,,,14.0
Process and Methodology,,1.0,7.0,1.0,2.0,3.0,,,14.0
Infrastructure as a Service (IaaS),1.0,1.0,6.0,1.0,4.0,1.0,,,14.0
Xen Cloud Platform,,3.0,4.0,,5.0,2.0,,,14.0
Software Application,,,9.0,1.0,1.0,3.0,,,14.0
Service Management,,1.0,5.0,1.0,4.0,3.0,,,14.0
Source Code Management,,3.0,4.0,,5.0,2.0,,,14.0
Web Development,1.0,3.0,3.0,1.0,1.0,5.0,,,14.0
Indonesian,,,6.0,1.0,2.0,5.0,,,14.0
OpenShift,,2.0,8.0,,2.0,2.0,,,14.0
Control Chart,,1.0,6.0,,4.0,3.0,,,14.0
VOIP,2.0,1.0,5.0,,2.0,4.0,,,14.0
Computing Platform,,,3.0,,3.0,8.0,,,14.0
Financial Risk Management,1.0,2.0,6.0,,1.0,4.0,,,14.0
Decision Tree,,,3.0,,3.0,8.0,,,14.0
Database Application,1.0,1.0,7.0,,1.0,4.0,,,14.0
Burmese,,,6.0,,4.0,3.0,,,13.0
Node.js,,2.0,5.0,1.0,2.0,3.0,,,13.0
Property Information,2.0,,2.0,2.0,4.0,3.0,,,13.0
Oil and Energy,1.0,1.0,3.0,,6.0,2.0,,,13.0
Sales Operations,2.0,2.0,3.0,,3.0,3.0,,,13.0
Tableau,,,7.0,2.0,2.0,2.0,,,13.0
Active Listening,,,6.0,,3.0,3.0,,,12.0
Digital Art,,2.0,5.0,,4.0,1.0,,,12.0
Software Interface,,,5.0,1.0,3.0,3.0,,,12.0
Robotics,,,6.0,,3.0,3.0,,,12.0
Corporate Finance,,1.0,3.0,,7.0,1.0,,,12.0
Bootstrap,,1.0,3.0,1.0,,7.0,,,12.0
SAS Statistical Analysis,3.0,1.0,2.0,,2.0,4.0,,,12.0
Deep Learning,1.0,,3.0,2.0,3.0,3.0,,,12.0
Computer Game,,2.0,4.0,1.0,1.0,4.0,,,12.0
Classfication,,2.0,4.0,,5.0,1.0,,,12.0
Classification,,2.0,4.0,,5.0,1.0,,,12.0
Q-learning,1.0,,1.0,2.0,5.0,3.0,,,12.0
Recreation,,1.0,3.0,,4.0,4.0,,,12.0
Cryptocurrency,,,4.0,,2.0,6.0,,,12.0
Bitbucket,,,3.0,,7.0,2.0,,,12.0
Tcl,1.0,,6.0,,5.0,,,,12.0
Redux,,,3.0,,7.0,2.0,,,12.0
Computer Worm,,2.0,7.0,,2.0,1.0,,,12.0
Commodity,2.0,1.0,2.0,,3.0,4.0,,,12.0
Information Management,,4.0,5.0,,2.0,1.0,,,12.0
Supply and Demand,,,4.0,,3.0,5.0,,,12.0
macOS,2.0,1.0,5.0,,1.0,3.0,,,12.0
Concurrency,,,10.0,,2.0,,,,12.0
PL/SQL,,,9.0,1.0,,1.0,,1.0,12.0
Affliate Marketing,,3.0,3.0,,5.0,1.0,,,12.0
Cybersecurity,,,8.0,,4.0,,,,12.0
Electronic Control Systems,,,4.0,,5.0,3.0,,,12.0
Google Drive,,2.0,6.0,,4.0,,,,12.0
Scripting Language,,1.0,7.0,,1.0,3.0,,,12.0
Sales Management,,,4.0,,6.0,1.0,1.0,,12.0
Data Sharing,1.0,,6.0,,2.0,3.0,,,12.0
Post-Sale Relationship Management,,,7.0,1.0,2.0,2.0,,,12.0
Statistical Analysis,3.0,1.0,2.0,,2.0,4.0,,,12.0
Database Systems,,,3.0,1.0,6.0,2.0,,,12.0
Requirement Analysis,2.0,1.0,3.0,,3.0,2.0,1.0,,12.0
Repetition,1.0,,2.0,,6.0,2.0,,1.0,12.0
Marketing Management,,,3.0,,5.0,3.0,,,11.0
Safari,2.0,,5.0,,2.0,2.0,,,11.0
Steganography,,1.0,4.0,,5.0,1.0,,,11.0
Report Analysis,,,6.0,,2.0,3.0,,,11.0
Informatics,,,6.0,,3.0,2.0,,,11.0
Television,2.0,,4.0,,4.0,1.0,,,11.0
Carpentry,,,2.0,,6.0,3.0,,,11.0
Aviation,,2.0,5.0,,1.0,3.0,,,11.0
Database Administration,,2.0,6.0,,2.0,1.0,,,11.0
Securities,,1.0,3.0,,4.0,2.0,,,10.0
Flowchart,1.0,,2.0,,3.0,4.0,,,10.0
Agile Methodology,,1.0,4.0,,1.0,4.0,,,10.0
Proability,,,6.0,1.0,2.0,1.0,,,10.0
Probability,,,6.0,1.0,2.0,1.0,,,10.0
Dreamweaver,,1.0,6.0,,1.0,2.0,,,10.0
Reverse Engineering,,1.0,3.0,,2.0,4.0,,,10.0
Market Analysis,,,6.0,,3.0,1.0,,,10.0
Uncertainty,,1.0,3.0,,1.0,5.0,,,10.0
Scientific Method,,1.0,6.0,,2.0,1.0,,,10.0
Data Modeling,,1.0,7.0,,1.0,1.0,,,10.0
Financial Management,,,6.0,,3.0,1.0,,,10.0
Wireless Network,1.0,2.0,1.0,,1.0,5.0,,,10.0
Software Testing,,,1.0,,2.0,7.0,,,10.0
Health Psychology,,,5.0,,2.0,3.0,,,10.0
Industrial and Organizational Psychology,,,5.0,,2.0,3.0,,,10.0
Industrial and Organization Psychology,,,5.0,,2.0,3.0,,,10.0
Mathematical Modelling,1.0,,4.0,1.0,1.0,3.0,,,10.0
Cloud Computing Architecture,1.0,,1.0,2.0,3.0,3.0,,,10.0
Behaviour Analysis,,,5.0,,2.0,3.0,,,10.0
Web Application Security,,2.0,5.0,,2.0,1.0,,,10.0
Developmental Psychology,,,5.0,,2.0,3.0,,,10.0
Experimental Psychology,,,5.0,,2.0,3.0,,,10.0
Forensic Psychology,,,5.0,,2.0,3.0,,,10.0
Helath Psychology,,,5.0,,2.0,3.0,,,10.0
Cryptography,,,5.0,,1.0,4.0,,,10.0
Optometry,,,5.0,1.0,4.0,,,,10.0
Philosophy,1.0,3.0,3.0,,1.0,2.0,,,10.0
Correlation,,2.0,1.0,2.0,2.0,3.0,,,10.0
Data Acquisition,1.0,,6.0,,3.0,,,,10.0
Data Cleansing,,,4.0,,4.0,2.0,,,10.0
DevOps Automation Tool,,,4.0,,1.0,4.0,,1.0,10.0
Hive,,,4.0,,4.0,2.0,,,10.0
Geometry,1.0,,5.0,,2.0,2.0,,,10.0
Model Based Reinforcement Learning,1.0,,1.0,2.0,3.0,3.0,,,10.0
Clinical Psychology,,,5.0,,2.0,3.0,,,10.0
SciPy,1.0,,1.0,2.0,3.0,3.0,,,10.0
Forensic Science,,1.0,4.0,,5.0,,,,10.0
Environmental Science,,1.0,4.0,,5.0,,,,10.0
Video Encoding,,,5.0,1.0,4.0,,,,10.0
Google Workspace,,,5.0,,3.0,2.0,,,10.0
Reinforcement Learning,1.0,,1.0,2.0,3.0,3.0,,,10.0
Financial Regulation,1.0,,3.0,,1.0,5.0,,,10.0
Perl,,,5.0,,,5.0,,,10.0
Social Science,,,2.0,,3.0,5.0,,,10.0
Pharmacology,,1.0,4.0,,5.0,,,,10.0
Matplotlib,1.0,,1.0,2.0,3.0,3.0,,,10.0
Database Management Systems,,,5.0,,4.0,1.0,,,10.0
Algebra,1.0,,1.0,2.0,3.0,3.0,,,10.0
NumPy,1.0,,1.0,2.0,3.0,3.0,,,10.0
Drupal,,,5.0,,2.0,3.0,,,10.0
Cloud Database Management System,,,5.0,,4.0,1.0,,,10.0
Cryptogrpahy,,,5.0,,1.0,4.0,,,10.0
Subject Matter Expert (SME),1.0,,4.0,,2.0,2.0,,,9.0
Financial Accounting,,,4.0,,3.0,2.0,,,9.0
Construction Law,,1.0,5.0,,,3.0,,,9.0
Outsourcing,1.0,,3.0,,3.0,2.0,,,9.0
Microbiology,,,4.0,,4.0,,1.0,,9.0
Tax Law,,,5.0,,2.0,2.0,,,9.0
Financial Engineering,1.0,2.0,4.0,1.0,,1.0,,,9.0
Operations Management,1.0,,4.0,,1.0,3.0,,,9.0
Business Intelligence Tool,1.0,1.0,2.0,1.0,2.0,2.0,,,9.0
Hbase,,,3.0,,4.0,1.0,,,8.0
Infographics,,,3.0,,1.0,4.0,,,8.0
Data Security,,,2.0,,,5.0,,1.0,8.0
Needs Analysis,,,3.0,,3.0,2.0,,,8.0
Scala,,,3.0,,4.0,1.0,,,8.0
Educational Psychology,,,2.0,,1.0,3.0,2.0,,8.0
Audio Production,,,3.0,,3.0,2.0,,,8.0
German,,,3.0,,3.0,2.0,,,8.0
Wireframing,,,3.0,,1.0,4.0,,,8.0
Magento,,,6.0,,,2.0,,,8.0
Email Production,,,3.0,,4.0,1.0,,,8.0
Clustering,,,3.0,,,5.0,,,8.0
Computer-aided Design,,,4.0,,2.0,2.0,,,8.0
Marketing Design,,,4.0,,3.0,1.0,,,8.0
Tree,,,4.0,,2.0,2.0,,,8.0
Financial Services,,,6.0,,2.0,,,,8.0
Pascal,,,6.0,,1.0,1.0,,,8.0
Microsoft Access,,,6.0,,1.0,1.0,,,8.0
Forth,,,5.0,,3.0,,,,8.0
Software as a Service (SaaS),,,5.0,,2.0,1.0,,,8.0
Programming Language Theory,2.0,,2.0,,,4.0,,,8.0
Tomcat,,,6.0,,1.0,1.0,,,8.0
Bug Tracking System,,3.0,2.0,,2.0,1.0,,,8.0
Legal Systems,1.0,,3.0,,1.0,3.0,,,8.0
Financial Law,,1.0,1.0,,5.0,1.0,,,8.0
Web Application Framework,,,1.0,,2.0,5.0,,,8.0
Supply Chain Management,,1.0,2.0,,3.0,2.0,,,8.0
Digital Media,,1.0,2.0,1.0,2.0,2.0,,,8.0
Content Management System (CMS),,1.0,2.0,1.0,3.0,1.0,,,8.0
Requirements Gathering,1.0,1.0,1.0,,2.0,2.0,1.0,,8.0
Payment Processing,,1.0,5.0,,1.0,1.0,,,8.0
Wireless Security,1.0,1.0,1.0,,1.0,4.0,,,8.0
Product Roadmap,,3.0,2.0,,3.0,,,,8.0
Data Strucutre,,,1.0,,6.0,1.0,,,8.0
Mathematical Economics,1.0,2.0,3.0,1.0,,1.0,,,8.0
Network Management,1.0,1.0,1.0,,1.0,4.0,,,8.0
International Finance,1.0,,3.0,,3.0,1.0,,,8.0
Business Writing,,2.0,2.0,,2.0,2.0,,,8.0
Marine Engineering,1.0,1.0,1.0,,3.0,2.0,,,8.0
Order Theory,1.0,2.0,3.0,,1.0,1.0,,,8.0
Routing Protocol,1.0,1.0,1.0,,1.0,4.0,,,8.0
Marketing Psychology,,1.0,6.0,,,,1.0,,8.0
Encoding,1.0,,1.0,,2.0,4.0,,,8.0
Storage System,1.0,,4.0,,2.0,1.0,,,8.0
Production Set,,3.0,2.0,,1.0,2.0,,,8.0
Pivot Tables,1.0,,3.0,,1.0,3.0,,,8.0
Loader,,1.0,1.0,1.0,4.0,1.0,,,8.0
WooCommerce,,1.0,3.0,,2.0,2.0,,,8.0
Public Policy,1.0,,3.0,,1.0,3.0,,,8.0
Gender and Sexuality Studies,1.0,,3.0,,1.0,3.0,,,8.0
Build Tool,,1.0,5.0,,1.0,1.0,,,8.0
Pivot Table,1.0,,3.0,,1.0,3.0,,,8.0
Strategic Management,2.0,1.0,,,2.0,3.0,,,8.0
Basic Access Authentication,1.0,1.0,1.0,,1.0,4.0,,,8.0
Investor Relations,,,5.0,,2.0,,,,7.0
Microsoft .NET,,,3.0,,2.0,2.0,,,7.0
Photo Editing,,2.0,4.0,,1.0,,,,7.0
UI Design,,,3.0,,3.0,1.0,,,7.0
Consumer Behaviour,,2.0,4.0,,1.0,,,,7.0
Corporate Law,,,4.0,,3.0,,,,7.0
