index,1 - Primary Education,2 - PMR / PT3,3 - SPM / O Level / SKM,4 - STPM / A Level,5 - Diploma / DVM,6 - Bachelor's,7 - Master's,8 - Doctoral (PhD),total,domain
Teamwork,5,14,64,4,37,39,,,163,Business
Financial Statement,10,4,64,5,40,38,2,,163,Business
Windows,8,12,67,3,34,35,,1,160,Computer Science
Healthcare,6,11,67,2,43,26,1,1,157,Others
Product Development,1,8,67,2,38,41,,,157,Business
Nonverbal Communication,6,8,74,4,39,25,1,,157,Business
Ada,11,15,49,,44,32,2,2,155,Computer Science
Investment,5,4,77,3,35,27,,,151,Business
Welding,11,13,63,3,35,24,2,,151,Others
Market Research,8,7,63,2,39,30,,,149,Business
IPython,2,9,57,4,41,36,,,149,Computer Science
Fabrication,6,13,57,2,43,25,2,,148,Business
Electronic Engineering,2,10,57,2,32,41,1,1,146,Others
Creativity,2,12,63,2,34,30,,2,145,Others
Agile,3,11,69,3,32,24,1,1,144,Business
SAP,3,5,59,6,37,26,2,,138,Computer Science
Editing,7,10,49,4,42,25,,1,138,Business
Forecasting,5,5,51,2,45,28,1,,137,Business
Lean Software Development,7,5,59,2,32,30,1,,136,Computer Science
B,8,9,55,1,37,26,,,136,Computer Science
Consulting,2,7,61,5,37,18,1,1,132,Business
Accounts Payable,5,5,54,3,29,36,,,132,Business
Statistics,5,5,47,5,32,36,,,130,Data Science
Interpreter,6,6,62,1,32,21,,,128,Computer Science
Business Plan,6,6,49,1,34,31,1,,128,Business
Business Process,3,7,60,6,26,23,,,125,Business
Instagram,1,6,65,3,29,20,,,124,Others
Plastics,1,8,53,4,38,18,2,,124,Others
Account Receivable,3,9,53,3,28,26,,,122,Business
Networking,2,9,54,,31,23,2,,121,Business
Risk Management,3,10,49,5,22,32,,,121,Business
RStudio,4,6,52,4,28,25,,,119,Computer Science
Photography,6,5,53,1,24,25,3,1,118,Business
Agile Software Development,6,5,62,2,21,20,,,116,Computer Science
Router,7,7,44,3,28,27,,,116,Information Technology (IT)
Addition,4,4,60,3,27,16,1,,115,Others
Business Administration,4,9,41,2,29,30,,,115,Business
Trade,4,4,51,2,25,26,1,,113,Business
MySQL,1,4,45,3,31,29,,,113,Computer Science
Decision Making,3,6,46,,33,22,1,1,112,Business
Electrical Engineering,2,13,46,1,18,31,,,111,Others
Hospitality,9,7,51,4,22,15,1,,109,Business
Balance Sheet,6,8,40,3,25,25,,,107,Business
PowerPoint,8,9,38,1,28,22,,1,107,Business
Software Engineering,3,5,42,5,24,27,,,106,Computer Science
User Experience (UX),5,4,46,2,21,28,,,106,Others
Box,,3,55,3,20,22,,,103,Information Technology (IT)
Quality Management,4,7,41,2,31,18,,,103,Business
C,5,4,40,2,31,19,,,101,Computer Science
Effective Communication,5,9,44,2,28,13,,,101,Business
Publishing,3,6,32,7,29,23,,,100,Business
Oracle,2,6,50,3,15,23,,,99,Computer Science
Dashboard,6,9,38,1,21,20,1,,96,Data Science
Java,4,7,53,3,16,11,2,,96,Computer Science
Microsoft Excel,3,5,35,6,28,18,,,95,Business
Saving,5,6,39,,26,18,1,,95,Others
Adobe Photoshop,,5,41,5,17,26,,,94,Others
Objective-C,4,2,38,1,28,19,2,,94,Computer Science
Software Development Kit (SDK),5,5,43,1,21,18,,,93,Computer Science
Microsoft Office 365,4,3,34,1,28,22,,,92,Information Technology (IT)
Protocol,4,5,37,2,30,14,,,92,Information Technology (IT)
Linux,1,5,40,3,19,23,,,91,Computer Science
Accounting Software,1,5,39,4,21,20,1,,91,Business
Office Administration,1,8,36,2,25,17,1,,90,Business
Critical Thinking,1,6,39,3,22,17,1,,89,Business
Perceptron,6,9,39,2,15,17,,,88,Data Science
Human Resource Management,4,8,35,2,31,7,1,,88,Business
Software Tool,2,6,33,3,20,22,,1,87,Computer Science
Methodology,5,7,29,6,21,18,1,,87,Business
PHP,2,5,30,2,28,19,,,86,Computer Science
Programming Language,1,2,28,1,28,26,,,86,Computer Science
Business Operations,3,8,32,1,27,13,1,,85,Business
Medium,,5,40,2,20,16,,,83,Business
Telemarketing,3,5,33,2,21,19,,,83,Business
Searching,4,7,30,,25,17,,,83,Computer Science
Organizational Skill,2,1,36,1,18,23,,1,82,Business
Research and Development (R&D),1,3,36,2,23,16,1,,82,Business
C#,2,8,35,2,17,18,,,82,Computer Science
Business Analysis,5,3,39,3,18,12,,,80,Business
Management Accounting,4,5,32,5,26,8,,,80,Business
Biology,,3,34,4,24,15,,,80,Others
Mathematics,2,4,34,3,15,20,,,78,Others
Economics,,4,32,1,18,23,,,78,Others
Civil Engineering,1,5,43,1,11,16,,,77,Others
Customer Service System,,2,37,2,18,17,,1,77,Business
Sports,7,3,24,2,21,20,,,77,Others
Mechatronics,2,7,37,1,12,16,1,,76,Others
Chart,,6,26,1,19,22,1,1,76,Business
Kubernetes,2,4,33,2,16,16,1,1,75,Information Technology (IT)
Recruiting,1,6,29,1,27,10,1,,75,Business
Customer Experience,3,3,25,,21,23,,,75,Business
Web Application,1,3,28,3,24,15,,,74,Computer Science
Social Media Platform,3,4,32,1,24,10,,,74,Others
Azure,3,8,28,2,14,18,,,73,Information Technology (IT)
Machining,4,6,23,1,24,14,,,72,Others
History,4,6,30,,22,10,,,72,Others
Firm,5,3,30,4,17,13,,,72,Others
Systems Theory,2,6,25,1,15,22,,,71,Others
Business Management,3,5,20,3,22,18,,,71,Business
Twitter,1,8,34,,17,9,1,1,71,Others
Scrum,3,5,34,2,14,13,,,71,Computer Science
Online Media,2,3,23,6,22,14,,,70,Business
Automotive,3,5,32,2,14,14,,,70,Others
Editor,3,5,20,,23,17,1,,69,Computer Science
Information System,5,2,26,,22,14,,,69,Information Technology (IT)
Software Development Life Cycle (SDLC),3,4,34,,18,10,,,69,Computer Science
Calendar,6,4,25,2,11,21,,,69,Business
Scheme,3,6,24,,21,14,,,68,Computer Science
Azure Machine Learning,1,3,18,2,20,23,1,,68,Data Science
Division,2,7,31,,16,10,1,1,68,Others
Japanese,2,9,28,1,17,10,,,67,Others
Telecommunication,2,4,29,,17,15,,,67,Information Technology (IT)
DevOps,4,2,31,2,11,15,1,,66,Computer Science
Bookkeeping,1,2,28,2,22,8,1,1,65,Business
R,4,4,27,3,18,8,1,,65,Computer Science
Android,4,4,25,1,19,10,1,,64,Computer Science
Adobe Illustrator,2,5,30,2,9,15,,,63,Others
Data Analysis,1,4,23,2,16,17,,,63,Data Science
Development Tools,,1,26,2,21,12,1,,63,Computer Science
Git,1,1,23,1,11,26,,,63,Computer Science
Public Speaking,4,,27,1,17,14,,,63,Business
Product Knowledge,2,3,27,,13,17,,,62,Business
Goods and Services,1,,25,2,14,19,,,61,Others
Docker,2,3,27,2,13,13,1,,61,Computer Science
Modeling,5,3,23,3,13,14,,,61,Computer Science
Root Cause Analysis,2,4,28,,13,14,,,61,Business
Peripheral,2,3,27,,17,12,,,61,Computer Science
Change Management,2,1,32,,17,8,,,60,Business
Scripting,6,2,22,2,10,18,,,60,Information Technology (IT)
Online Marketing,1,8,18,1,20,11,,,59,Business
Animation,2,5,23,2,12,15,,,59,Others
Process Engineering,3,5,28,2,13,7,1,,59,Others
Blogging,4,6,28,3,12,5,,,58,Business
Algorithm,2,1,19,1,16,19,,,58,Computer Science
Rally,1,1,34,1,15,4,,1,57,Business
JIRA,,2,27,,9,18,,1,57,Computer Science
Sampling,2,1,32,,13,9,,,57,Data Science
Shell,1,4,26,2,9,15,,,57,Computer Science
Project Planning,2,5,17,,19,13,,,56,Business
Chemical Engineering,2,6,22,1,13,11,,,55,Others
Money,1,1,25,2,10,15,,,54,Others
Copywriting,4,3,15,,11,20,,,53,Business
React,3,,21,3,16,9,,,52,Computer Science
Software System,5,2,19,1,12,13,,,52,Computer Science
Clear Communication,2,4,22,1,10,13,,,52,Business
Angular,,,21,3,15,12,1,,52,Computer Science
Depression,2,4,16,1,16,13,,,52,Others
Spark,3,2,19,3,15,9,1,,52,Computer Science
GitLab,,5,22,,15,9,,,51,Computer Science
Target Audience,1,5,22,3,9,10,1,,51,Business
Accounting Standards,1,2,23,1,16,8,,,51,Business
Computer Hardware,,1,21,1,15,13,,,51,Computer Science
Motion Graphic Design,1,2,20,1,10,17,,,51,Computer Science
Web Design,1,3,20,2,11,13,,,50,Computer Science
NoSQL,1,,17,3,9,20,,,50,Computer Science
Outlook,1,3,19,1,13,13,,,50,Business
Business Strategy,2,2,11,3,15,17,,,50,Business
Ethics,2,6,21,,15,6,,,50,Others
LinkedIn,,5,26,,9,9,1,,50,Others
Competition,1,2,23,,13,11,,,50,Others
Branding,3,4,26,2,6,9,,,50,Business
ISO 9001,6,2,18,,13,10,,,49,Computer Science
Aquaculture,1,3,19,2,12,12,,,49,Others
Prototyping,1,1,19,1,16,10,1,,49,Others
Sequence,3,2,17,2,14,11,,,49,Computer Science
Food Science,,4,20,2,16,6,,,48,Others
Pragmatics,2,2,18,2,10,14,,,48,Others
Content Marketing,1,5,26,,10,5,1,,48,Business
Web Application Development,1,4,26,,9,8,,,48,Computer Science
Swift,1,2,19,2,17,5,1,,47,Computer Science
Business Model,4,1,13,2,16,10,,,46,Business
Bagging,,2,24,,12,8,,,46,Data Science
Audio,2,2,19,3,16,4,,,46,Others
Links,1,5,15,,14,10,1,,46,Information Technology (IT)
Electronic and Electrical Engineering,,,18,,14,12,1,1,46,Others
Product Management,1,1,23,,8,13,,,46,Business
Gradle,2,5,26,1,4,7,,,45,Computer Science
Mining,1,4,12,1,18,4,,5,45,Others
Mapping,1,2,14,1,17,10,,,45,Computer Science
Support Engineering,2,,23,2,11,5,1,,44,Others
Mobile Application Development,1,4,22,,9,8,,,44,Others
Asset Management,1,3,20,3,12,5,,,44,Business
Product Marketing,4,4,20,1,6,7,2,,44,Business
Conveyancing,,3,18,1,13,9,,,44,Others
LaTeX,1,1,11,1,16,13,,,43,Computer Science
Vietnamese,3,,22,1,8,9,,,43,Others
Adminitrative Assistance,1,2,18,1,7,14,,,43,Business
iOS,2,2,17,1,11,8,1,,42,Computer Science
Agriculture,1,4,15,,13,7,2,,42,Others
Machine Learning,,2,17,1,10,11,,1,42,Data Science
Github,2,3,13,,15,9,,,42,Computer Science
Utility,5,3,20,,7,7,,,42,Others
Keras,1,2,13,2,14,10,,,42,Data Science
Big Data,2,2,13,2,12,10,1,,42,Data Science
Interior Design,1,3,14,,12,11,,,41,Others
Manufacturing Engineering,1,1,18,,10,11,,,41,Others
Journalism,3,5,11,1,7,13,,1,41,Others
Reasoning,,3,19,2,10,7,,,41,Business
Sketch,2,1,16,1,8,12,,,40,Others
Technical Documentation,2,4,19,1,6,7,1,,40,Computer Science
Real Estate,1,3,15,2,12,7,,,40,Business
Transformer,1,2,18,,12,7,,,40,Data Science
Property Maintenance,2,2,13,1,8,14,,,40,Business
A/B Testing,,1,13,,9,17,,,40,Computer Science
Complexity,2,,20,,11,6,,1,40,Computer Science
Performance Management,,6,17,,10,7,,,40,Business
Data Analytics,2,3,20,1,7,7,,,40,Data Science
Life Science,1,1,16,1,13,7,,,39,Others
Hadoop,1,1,12,2,14,8,1,,39,Computer Science
jQuery,1,1,12,2,9,13,,,38,Computer Science
Sustainability,2,6,8,,15,6,1,,38,Others
Blockchain,,,15,1,10,11,1,,38,Information Technology (IT)
Risk Analysis,2,,15,,8,12,1,,38,Business
Template,,1,22,,9,6,,,38,Business
Rapid Application Development,1,4,19,,7,7,,,38,Computer Science
Email Marketing,2,,15,,13,8,,,38,Business
Music,,3,16,2,11,5,,,37,Others
Industrial Relations,,2,11,1,12,11,,,37,Others
Nutrition,1,1,16,1,11,6,1,,37,Others
Nursing,,1,14,,15,7,,,37,Others
PostgreSQL,1,3,11,1,13,7,,,36,Computer Science
Korean,,1,17,1,8,9,,,36,Others
ML,1,,10,2,8,15,,,36,Computer Science
Microsoft Word,2,,15,1,12,6,,,36,Business
Relational Database,1,1,8,1,11,14,,,36,Computer Science
Data Science,,2,10,1,14,9,,,36,Data Science
Debugging,,,15,2,10,8,,1,36,Computer Science
Virtualization,1,5,14,,8,8,,,36,Computer Science
Mechanics,3,1,13,4,8,7,,,36,Others
Distributed Computing,,1,13,,8,13,1,,36,Computer Science
Airlines,2,7,13,1,9,4,,,36,Business
